c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_types_pfk;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_pv_r;un_kW;2019;ep_capex;800;un_eur20p_kW;S1_PV_low_less_3kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;773.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2021;ep_capex;749.6;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2022;ep_capex;727;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2023;ep_capex;705.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2024;ep_capex;685.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2025;ep_capex;666.9;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2026;ep_capex;649;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2027;ep_capex;631.9;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2028;ep_capex;615.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2029;ep_capex;600.2;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2030;ep_capex;585.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2031;ep_capex;571.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2032;ep_capex;559.1;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2033;ep_capex;546.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2034;ep_capex;534.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2035;ep_capex;522.9;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2036;ep_capex;511.6;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2037;ep_capex;500.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2038;ep_capex;489.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2039;ep_capex;479.1;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2040;ep_capex;468.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2041;ep_capex;458.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2042;ep_capex;448.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2043;ep_capex;438.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2044;ep_capex;429.1;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2045;ep_capex;419.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2046;ep_capex;410.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2047;ep_capex;401.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2048;ep_capex;392.6;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2049;ep_capex;384;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2050;ep_capex;375.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2019;ep_capex;2300;un_eur20p_kW;S1_PV_high_less_3kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;2237;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2021;ep_capex;2179;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2022;ep_capex;2126;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2023;ep_capex;2077;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2024;ep_capex;2032;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2025;ep_capex;1989;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2026;ep_capex;1950;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2027;ep_capex;1912;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2028;ep_capex;1877;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2029;ep_capex;1844;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2030;ep_capex;1813;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2031;ep_capex;1786;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2032;ep_capex;1763;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2033;ep_capex;1740;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2034;ep_capex;1718;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2035;ep_capex;1699;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2036;ep_capex;1680;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2037;ep_capex;1662;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2038;ep_capex;1644;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2039;ep_capex;1626;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2040;ep_capex;1609;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2041;ep_capex;1591;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2042;ep_capex;1573;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2043;ep_capex;1556;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2044;ep_capex;1539;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2045;ep_capex;1522;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2046;ep_capex;1505;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2047;ep_capex;1488;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2048;ep_capex;1472;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2049;ep_capex;1455;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2050;ep_capex;1438;un_eur20p_kW;S1_PV_high_less_3kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2019;ep_capex;750;un_eur20p_kW;S1_PV_low_3_to10kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;725;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2021;ep_capex;703;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2022;ep_capex;682;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2023;ep_capex;662;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2024;ep_capex;643;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2025;ep_capex;625;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2026;ep_capex;608;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2027;ep_capex;592;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2028;ep_capex;577;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2029;ep_capex;563;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2030;ep_capex;549;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2031;ep_capex;536;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2032;ep_capex;524;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2033;ep_capex;513;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2034;ep_capex;501;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2035;ep_capex;490;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2036;ep_capex;480;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2037;ep_capex;469;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2038;ep_capex;459;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2039;ep_capex;449;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2040;ep_capex;439;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2041;ep_capex;430;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2042;ep_capex;420;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2043;ep_capex;411;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2044;ep_capex;402;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2045;ep_capex;393;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2046;ep_capex;385;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2047;ep_capex;376;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2048;ep_capex;368;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2049;ep_capex;360;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2050;ep_capex;352;un_eur20p_kW;S1_PV_low_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2019;ep_capex;1800;un_eur20p_kW;S1_PV_high_3_to10kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;1750;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2021;ep_capex;1705;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2022;ep_capex;1664;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2023;ep_capex;1626;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2024;ep_capex;1590;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2025;ep_capex;1557;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2026;ep_capex;1526;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2027;ep_capex;1496;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2028;ep_capex;1469;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2029;ep_capex;1443;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2030;ep_capex;1419;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2031;ep_capex;1398;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2032;ep_capex;1380;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2033;ep_capex;1362;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2034;ep_capex;1345;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2035;ep_capex;1329;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2036;ep_capex;1315;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2037;ep_capex;1301;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2038;ep_capex;1287;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2039;ep_capex;1273;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2040;ep_capex;1259;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2041;ep_capex;1245;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2042;ep_capex;1231;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2043;ep_capex;1218;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2044;ep_capex;1204;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2045;ep_capex;1191;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2046;ep_capex;1178;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2047;ep_capex;1165;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2048;ep_capex;1152;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2049;ep_capex;1139;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
tec_pv_r;un_kW;2050;ep_capex;1125;un_eur20p_kW;S1_PV_high_3_to10kW;simlated according to global market scenario (AGORA future cost of PV 5% CAGR scenario) and 15% learning rate (kost 2018)
