;wholesales_price_optimistic;wholesales_price_pessimistic;grid_under_1000MWh_optimistic;grid_full_over_1000MWh_optimistic;grid_energy_intensive_over_1000MWh_optimistic;re_electrification_under_1000MWh_optimistic;re_electrification_over_1000MWh_optimistic;re_electrification_energy_intensive_over_1000MWh_optimistic;grid_under_1000MWh_pessimistic;grid_full_over_1000MWh_pessimistic;grid_energy_intensive_over_1000MWh_pessimistic;re_electrification_under_1000MWh_pessimistic;re_electrification_over_1000MWh_pessimistic;re_electrification_energy_intensive_over_1000MWh_pessimistic;self-consumption_under_1000MWh_optimistic;self-consumption_under_1000MWh_pessimistic;self-consumption_full_over_1000MWh_optimistic;self-consumption_full_over_1000MWh_pessimistic;self-consumption_energy_intensive_over_1000MWh_optimistic;self-consumption_energy_intensive_over_1000MWh_pessimistic;grid_under_1000MWh_optimistic;grid_full_over_1000MWh_optimistic;grid_energy_intensive_over_1000MWh_optimistic;grid_under_1000MWh_realistic;grid_full_over_1000MWh_realistic;grid_energy_intensive_over_1000MWh_realistic;natural_gas_optimistic;natural_gas_pessimistic
# Unit; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ;;;;;;; [�ct/kWh] ; [�ct/kWh] 
2018; Optimistic ; Pessimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; Optimistic ; Pessimistic 
2019;2.98;3.10;14.49;14.16;8.10;4.10;3.77;3.75;14.68;14.35;8.29;4.25;3.92;3.90;6.54;10.54;6.54;10.54;6.54;10.54;12.40;12.07;6.01;12.59;12.26;6.20;2.77;2.77
2020;3.13;3.95;14.97;14.64;8.38;4.28;3.95;3.93;16.21;15.88;9.61;5.27;4.94;4.91;6.55;10.45;6.55;10.45;6.55;10.45;12.87;12.54;6.28;14.10;13.77;7.51;2.74;2.77
2021;3.39;3.42;15.85;15.52;8.91;4.60;4.27;4.25;15.90;15.57;8.97;4.64;4.31;4.29;6.68;10.51;6.68;10.51;6.68;10.51;13.68;13.35;6.74;13.73;13.40;6.80;2.75;2.82
2022;4.61;4.78;17.65;17.32;10.82;6.07;5.74;5.72;17.91;17.58;11.07;6.28;5.95;5.93;6.61;10.38;6.61;10.38;6.61;10.38;15.41;15.09;8.58;15.67;15.34;8.84;2.76;2.89
2023;5.36;5.38;18.72;18.40;12.00;6.98;6.65;6.62;18.75;18.42;12.03;7.00;6.67;6.65;6.52;10.25;6.52;10.25;6.52;10.25;16.42;16.09;9.70;16.45;16.12;9.73;2.77;2.96
2024;5.30;5.30;18.62;18.29;11.98;6.91;6.58;6.56;18.61;18.28;11.97;6.90;6.58;6.55;6.46;10.16;6.46;10.16;6.46;10.16;16.25;15.92;9.61;16.24;15.91;9.60;2.75;2.99
2025;5.37;5.36;18.62;18.29;12.13;6.99;6.66;6.64;18.61;18.28;12.12;6.98;6.66;6.63;6.37;10.03;6.37;10.03;6.37;10.03;16.18;15.85;9.69;16.17;15.84;9.68;2.76;3.07
2026;5.57;5.78;18.65;18.32;12.46;7.23;6.91;6.88;18.97;18.64;12.78;7.49;7.16;7.13;6.22;9.85;6.22;9.85;6.22;9.85;16.14;15.82;9.96;16.46;16.13;10.27;2.76;3.16
2027;4.95;6.11;18.67;16.99;11.53;6.49;6.16;6.13;19.07;18.74;13.28;7.89;7.56;7.53;6.02;9.62;6.02;9.62;6.02;9.62;14.75;14.42;8.96;16.50;16.17;10.71;2.77;3.25
2028;6.03;6.31;18.69;18.37;13.20;7.79;7.47;7.44;19.12;18.79;13.62;8.13;7.81;7.78;5.87;9.45;5.87;9.45;5.87;9.45;16.05;15.72;10.55;16.48;16.15;10.98;2.78;3.34
2029;5.64;6.51;17.78;17.46;12.62;7.32;6.99;6.97;19.09;18.77;13.93;8.37;8.04;8.01;5.70;9.26;5.70;9.26;5.70;9.26;15.08;14.75;9.91;16.39;16.06;11.22;2.79;3.45
2030;5.59;6.91;17.29;16.97;12.54;7.26;6.93;6.90;19.30;18.97;14.55;8.86;8.53;8.51;5.49;9.04;5.49;9.04;5.49;9.04;14.52;14.19;9.77;16.52;16.19;11.77;2.80;3.56
2031;5.39;7.52;16.31;15.99;12.20;7.01;6.68;6.66;19.53;19.21;15.42;9.59;9.26;9.23;5.18;8.71;5.18;8.71;5.18;8.71;13.47;13.14;9.36;16.69;16.36;12.58;2.81;3.74
2032;5.72;7.59;16.17;15.84;12.67;7.42;7.09;7.06;18.99;18.66;15.50;9.67;9.35;9.32;4.88;8.40;4.88;8.40;4.88;8.40;13.26;12.93;9.76;16.08;15.75;12.59;2.82;3.88
2033;5.84;7.97;16.08;15.76;12.88;7.56;7.23;7.21;19.31;18.99;16.11;10.14;9.82;9.79;4.74;8.24;4.74;8.24;4.74;8.24;13.11;12.78;9.90;16.34;16.01;13.13;2.83;4.03
2034;4.74;8.49;16.11;14.07;11.28;6.23;5.91;5.88;20.07;19.74;16.95;10.77;10.44;10.42;4.69;8.17;4.69;8.17;4.69;8.17;11.36;11.03;8.24;17.03;16.70;13.91;2.84;4.19
2035;5.85;8.98;16.13;15.80;13.04;7.58;7.25;7.22;20.86;20.53;17.76;11.36;11.03;11.01;4.66;8.13;4.66;8.13;4.66;8.13;13.02;12.69;9.92;17.75;17.42;14.65;2.85;4.37
2036;5.85;8.95;16.20;15.87;13.11;7.57;7.24;7.22;20.89;20.56;17.80;11.32;11.00;10.97;4.66;8.12;4.66;8.12;4.66;8.12;13.02;12.69;9.93;17.71;17.38;14.62;2.86;4.56
2037;5.92;9.27;16.39;16.06;13.29;7.66;7.33;7.31;21.45;21.12;18.35;11.71;11.38;11.36;4.65;8.10;4.65;8.10;4.65;8.10;13.14;12.81;10.05;18.20;17.87;15.11;2.87;4.71
2038;5.99;9.59;16.57;16.24;13.48;7.75;7.42;7.39;22.00;21.68;18.91;12.09;11.76;11.74;4.65;8.09;4.65;8.09;4.65;8.09;13.26;12.93;10.17;18.69;18.36;15.60;2.88;4.92
2039;6.06;9.90;16.75;16.43;13.66;7.83;7.50;7.48;22.56;22.23;19.47;12.48;12.15;12.12;4.64;8.07;4.64;8.07;4.64;8.07;13.37;13.05;10.28;19.18;18.85;16.09;2.89;5.15
2040;6.13;10.22;16.93;16.60;13.84;7.91;7.58;7.56;23.12;22.79;20.02;12.86;12.53;12.51;4.64;8.06;4.64;8.06;4.64;8.06;13.48;13.16;10.39;19.67;19.34;16.58;2.90;5.39
2041;6.20;10.54;17.11;16.78;14.01;7.99;7.66;7.64;23.67;23.34;20.58;13.24;12.92;12.89;4.63;8.04;4.63;8.04;4.63;8.04;13.59;13.27;10.50;20.16;19.83;17.06;2.91;5.66
2042;6.26;10.85;17.28;16.95;14.19;8.07;7.74;7.72;24.23;23.90;21.14;13.63;13.30;13.27;4.63;8.03;4.63;8.03;4.63;8.03;13.70;13.37;10.61;20.65;20.32;17.55;2.91;5.94
2043;6.32;11.17;17.45;17.12;14.36;8.14;7.82;7.79;24.79;24.46;21.69;14.01;13.68;13.66;4.62;8.01;4.62;8.01;4.62;8.01;13.80;13.47;10.71;21.14;20.81;18.04;2.92;6.25
2044;6.38;11.49;17.62;17.29;14.53;8.22;7.89;7.86;25.34;25.01;22.25;14.39;14.07;14.04;4.62;8.00;4.62;8.00;4.62;8.00;13.90;13.57;10.81;21.63;21.30;18.53;2.93;6.58
2045;6.44;11.81;17.78;17.46;14.69;8.29;7.96;7.93;25.90;25.57;22.81;14.78;14.45;14.43;4.61;7.99;4.61;7.99;4.61;7.99;14.00;13.67;10.91;22.12;21.79;19.02;2.94;6.93
2046;6.50;12.12;17.95;17.62;14.85;8.36;8.03;8.00;26.45;26.13;23.36;15.16;14.83;14.81;4.61;7.97;4.61;7.97;4.61;7.97;14.10;13.77;11.00;22.60;22.28;19.51;2.95;7.32
2047;6.55;12.44;18.11;17.78;15.02;8.42;8.10;8.07;27.01;26.68;23.92;15.55;15.22;15.19;4.60;7.96;4.60;7.96;4.60;7.96;14.19;13.86;11.10;23.09;22.77;20.00;2.96;7.73
2048;6.61;12.76;18.27;17.94;15.18;8.49;8.16;8.14;27.57;27.24;24.48;15.93;15.60;15.58;4.60;7.95;4.60;7.95;4.60;7.95;14.28;13.96;11.19;23.58;23.26;20.49;2.97;8.17
2049;6.66;13.07;18.43;18.10;15.33;8.55;8.23;8.20;28.12;27.80;25.03;16.31;15.99;15.96;4.59;7.94;4.59;7.94;4.59;7.94;14.37;14.05;11.28;24.07;23.75;20.98;2.98;8.65
2050;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2051;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2052;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2053;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2054;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2055;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2056;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2057;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2058;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2059;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2060;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2061;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2062;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2063;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2064;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2065;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2066;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2067;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2068;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2069;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2070;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2071;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2072;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2073;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2074;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2075;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2076;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2077;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2078;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2079;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
2080;6.71;13.39;18.58;18.25;15.49;8.62;8.29;8.27;28.68;28.35;25.59;16.70;16.37;16.34;4.59;7.93;4.59;7.93;4.59;7.93;14.46;14.14;11.37;24.56;24.23;21.47;2.99;9.17
