;AEL_pressure;AEL_lifetime_other_components;AEL_lifetime_stack_h;AEL_lifetime_stack_y;AEL_water_consumption;PEM_pressure;PEM_lifetime_other_components;PEM_lifetime_stack_h;PEM_lifetime_stack_y;PEM_water_consumption;compressor_efficiency;compressor_lifetime;compressor_energy_demand;storage_tank_size_1;storage_tank_size_2;storage_tank_efficiency;storage_tank_lifetime;storage_tank_pressure;storage_tank_energy_demand;salt_cavern_size_1;salt_cavern_size_2;salt_cavern_size_3;salt_cavern_efficiency;salt_cavern_lifetime;salt_cavern_energy_demand;filling_center_size;filling_center_efficiency;filling_center_lifetime;filling_center_energy_demand;trailer_size;trailer_efficiency;trailer_lifetime;trailer_pressure;truck_size;truck_efficiency;truck_lifetime;truck_energy_demand;hrs_size;hrs_efficiency;hrs_lifetime;hrs_energy_demand;hrs_utilization;injection_station_size;injection_station_efficiency;injection_station_lifetime;injection_station_energy_demand;gas_turbine_size_1;gas_turbine_size_2;gas_turbine_size_3;gas_turbine_efficiency;gas_turbine_lifetime;gas_turbine_energy_demand;chp_size;chp_efficiency_el;chp_efficiency_th;chp_lifetime;chp_energy_demand 
# Unit; [bar] ; [year] ; [hour] ; [year] ; [liter/kg] ; [bar] ; [year] ; [hour] ; [year] ; [liter/kg] ; [%] ; [year] ; [kWh/kg] ; [kg ] ; [kg ] ; [%] ; [year] ; [bar] ; [kWh/kg] ; [m³ ] ; [m³ ] ; [m³ ] ; [%] ; [year] ; [kWh/kg] ; [kg ] ; [%] ; [year] ; [kWh/kg] ; [kg ] ; [%] ; [year] ; [bar] ; [kg ] ; [%] ; [year] ; [L Diesel / km] ; [kg ] ; [%] ; [year] ; [kWh/kg] ; [%] ; [kg ] ; [%] ; [year] ; [kWh/kg] ; [MW] ; [MW] ; [MW] ; [%] ; [year] ; [kWh/kg] ; [MW] ; [%] ; [%] ; [year] ; [kWh/kg] 
2018;10.00;25.00;;9.00;15.00;;25.00;;6.00;15.00;0.99;30.00;1.00;140.00;5000.00;1.00;25.00;30.00;;300000.00;530000.00;570000.00;1.00;30.00;1.50;;0.99;30.00;1.50;1000.00;1.00;20.00;500.00;;;10.00;0.28;;0.99;30.00;2.00;0.70;?;0.99;30.00;1.00;330.00;628.06;1064.52;0.40;40.00;0.00;?;0.49;0.31;20.00;0.00
2019;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2020;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2021;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2022;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2023;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2024;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2025;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2026;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2027;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2028;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2029;10.00;25.00;55000.00;;15.00;30.00;25.00;40000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2030;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2031;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2032;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2033;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2034;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2035;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2036;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2037;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2038;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2039;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2040;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2041;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2042;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2043;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2044;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2045;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2046;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2047;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2048;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2049;30.00;25.00;90000.00;;15.00;60.00;25.00;50000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2050;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2051;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2052;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2053;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2054;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2055;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2056;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2057;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2058;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2059;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2060;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2061;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2062;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2063;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2064;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2065;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2066;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2067;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2068;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2069;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2070;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2071;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2072;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2073;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2074;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2075;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2076;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2077;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2078;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2079;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
2080;30.00;25.00;90000.00;;15.00;60.00;25.00;60000.00;;15.00;0.99;;1.00;140.00;5000.00;1.00;;30.00;;300000.00;530000.00;570000.00;1.00;;1.50;;1.00;;1.50;1000.00;1.00;;500.00;;0.00;;0.28;;0.99;;2.00;;;0.99;;1.00;330.00;628.06;1064.52;;;0.00;;0.49;0.31;;0.00
