,capacity_optimistic,annex_optimistic,capacity_pessimistic,annex_pessimistic,capacity_max,annex_max,capacity_min,annex_min,capacity_mean,annex_mean
2009,9.587587786959151e-05,0.0,9.587587786959151e-05,0.0,9.587587786959151e-05,0.0,9.587587786959151e-05,0.0,9.587587786959151e-05,0.0
2010,0.000159196750650091,6.33208727804995e-05,0.000159196750650091,6.33208727804995e-05,0.000159196750650091,6.33208727804995e-05,0.000159196750650091,6.33208727804995e-05,0.000159196750650091,6.33208727804995e-05
2011,0.00026433744544400743,0.00010514069479391642,0.00026433744544400743,0.00010514069479391642,0.00026433744544400743,0.00010514069479391642,0.00026433744544400743,0.00010514069479391642,0.00026433744544400743,0.00010514069479391642
2012,0.00043891718669013924,0.0001745797412461318,0.00043891718669013924,0.0001745797412461318,0.00043891718669013924,0.0001745797412461318,0.00043891718669013924,0.0001745797412461318,0.00043891718669013924,0.0001745797412461318
2013,0.0007287951992998261,0.0002898780126096868,0.0007287951992998261,0.0002898780126096868,0.0007287951992998261,0.0002898780126096868,0.0007287951992998261,0.0002898780126096868,0.0007287951992998261,0.0002898780126096868
2014,0.001210115403967312,0.0004813202046674859,0.001210115403967312,0.0004813202046674859,0.001210115403967312,0.0004813202046674859,0.001210115403967312,0.0004813202046674859,0.001210115403967312,0.0004813202046674859
2015,0.0020093027024235123,0.0007991872984562003,0.0020093027024235123,0.0007991872984562003,0.0020093027024235123,0.0007991872984562003,0.0020093027024235123,0.0007991872984562003,0.0020093027024235123,0.0007991872984562003
2016,0.0033362566528850218,0.0013269539504615095,0.0033362566528850218,0.0013269539504615095,0.0033362566528850218,0.0013269539504615095,0.0033362566528850218,0.0013269539504615095,0.0033362566528850218,0.0013269539504615095
2017,0.005539442703305712,0.00220318605042069,0.005539442703305712,0.00220318605042069,0.005539442703305712,0.00220318605042069,0.005539442703305712,0.00220318605042069,0.005539442703305712,0.00220318605042069
2018,0.009197299017075479,0.0036578563137697672,0.009197299017075479,0.0036578563137697672,0.009197299017075479,0.0036578563137697672,0.009197299017075479,0.0036578563137697672,0.009197299017075479,0.0036578563137697672
2019,0.01526982175793678,0.0060725227408613015,0.01526982175793678,0.0060725227408613015,0.01526982175793678,0.0060725227408613015,0.01526982175793678,0.0060725227408613015,0.01526982175793678,0.0060725227408613015
2020,0.01587461675661741,0.0006047949986806283,0.01587461675661741,0.0006047949986806283,0.01587461675661741,0.0006047949986806283,0.01587461675661741,0.0006047949986806283,0.01587461675661741,0.0006047949986806283
2021,0.016503276492274902,0.0006286597356574934,0.016503276492274902,0.0006286597356574934,0.016503276492274902,0.0006286597356574934,0.016503276492274902,0.0006286597356574934,0.016503276492274902,0.0006286597356574934
2022,0.018376373941270046,0.0018730974489951438,0.018376373941270046,0.0018730974489951438,0.018376373941270046,0.0018730974489951438,0.018376373941270046,0.0018730974489951438,0.018376373941270046,0.0018730974489951438
2023,0.020461239674004737,0.0020848657327346906,0.020461239674004737,0.0020848657327346906,0.020461239674004737,0.0020848657327346906,0.020461239674004737,0.0020848657327346906,0.020461239674004737,0.0020848657327346906
2024,0.02278116482389876,0.0023199251498940247,0.02278116482389876,0.0023199251498940247,0.02278116482389876,0.0023199251498940247,0.02278116482389876,0.0023199251498940247,0.02278116482389876,0.0023199251498940247
2025,0.02536146580633322,0.0025803009824344574,0.02536146580633322,0.0025803009824344574,0.02536146580633322,0.0025803009824344574,0.02536146580633322,0.0025803009824344574,0.02536146580633322,0.0025803009824344574
2026,0.028229208454974005,0.0028677426486407864,0.028229208454974005,0.0028677426486407864,0.028229208454974005,0.0028677426486407864,0.028229208454974005,0.0028677426486407864,0.028229208454974005,0.0028677426486407864
2027,0.0314125041540919,0.0031832956991178947,0.0314125041540919,0.0031832956991178947,0.0314125041540919,0.0031832956991178947,0.0314125041540919,0.0031832956991178947,0.0314125041540919,0.0031832956991178947
2028,0.03493905464415516,0.003526550490063257,0.03493905464415516,0.003526550490063257,0.03493905464415516,0.003526550490063257,0.03493905464415516,0.003526550490063257,0.03493905464415516,0.003526550490063257
2029,0.038833466305792035,0.0038944116616368776,0.038833466305792035,0.0038944116616368776,0.038833466305792035,0.0038944116616368776,0.038833466305792035,0.0038944116616368776,0.038833466305792035,0.0038944116616368776
2030,0.047591103315512126,0.008757637009720091,0.047591103315512126,0.008757637009720091,0.047591103315512126,0.008757637009720091,0.047591103315512126,0.008757637009720091,0.047591103315512126,0.008757637009720091
2031,0.05813351653434284,0.010542413218830711,0.05813351653434284,0.010542413218830711,0.0582643759328794,0.010673272617367273,0.05813351653434284,0.010542413218830711,0.05813351653434284,0.010542413218830711
2032,0.07067026196160253,0.012536745427259695,0.07067026196160253,0.012536745427259695,0.0723127368730043,0.014048360940124897,0.07067026196160253,0.012536745427259695,0.07067026196160253,0.012536745427259695
2033,0.08533985270371063,0.014669590742108093,0.08533985270371063,0.014669590742108093,0.09064467987689973,0.01833194300389543,0.08533985270371063,0.014669590742108093,0.08533985270371063,0.014669590742108093
2034,0.1021850990255649,0.016845246321854274,0.1021850990255649,0.016845246321854274,0.11341818154433997,0.022773501667440244,0.1021850990255649,0.016845246321854274,0.1021850990255649,0.016845246321854274
2035,0.12117827316345962,0.018993174137894725,0.12117827316345962,0.018993174137894725,0.14221478502715187,0.028796603482811906,0.12117827316345962,0.018993174137894725,0.12117827316345962,0.018993174137894725
2036,0.14230578440269234,0.02112751123923272,0.14230578440269234,0.02112751123923272,0.17837503408069857,0.0361602490535467,0.14230578440269234,0.02112751123923272,0.14230578440269234,0.02112751123923272
2037,0.16566692110852507,0.02336113670583273,0.16566692110852507,0.02336113670583273,0.2238127862229093,0.04543775214221071,0.16566692110852507,0.02336113670583273,0.16566692110852507,0.02336113670583273
2038,0.19152385195614954,0.02585693084762447,0.19152385195614954,0.02585693084762447,0.2814456735784581,0.057632887355548834,0.19152385195614954,0.02585693084762447,0.19152385195614954,0.02585693084762447
2039,0.22028942677548247,0.028765574819332923,0.22028942677548247,0.028765574819332923,0.35557285311980336,0.07412717954134523,0.22028942677548247,0.028765574819332923,0.22028942677548247,0.028765574819332923
2040,0.2524876355851131,0.032198208809630646,0.2524876355851131,0.032198208809630646,0.4523959172022639,0.09682306408246055,0.2524876355851131,0.032198208809630646,0.2524876355851131,0.032198208809630646
2041,0.2887211809132433,0.03623354532813017,0.2887211809132433,0.03623354532813017,0.5811676784160572,0.1287717612137933,0.2887211809132433,0.03623354532813017,0.2887211809132433,0.03623354532813017
2042,0.3296574455052776,0.04093626459203431,0.3296574455052776,0.04093626459203431,0.7544311482371504,0.1732634698210932,0.3296574455052776,0.04093626459203431,0.3296574455052776,0.04093626459203431
2043,0.3763976654358006,0.04674021993052302,0.3760293510493823,0.0463719055441047,0.990522601806019,0.23609145356886863,0.3760293510493823,0.0463719055441047,0.3760293510493823,0.0463719055441047
2044,0.43132302484803026,0.054925359412229646,0.428644711854971,0.05261536080558871,1.3159412775411206,0.3254186757351015,0.428644711854971,0.05261536080558871,0.428644711854971,0.05261536080558871
2045,0.49615840006408335,0.06483537521605309,0.48839961620357636,0.059754904348605364,1.7685626904221037,0.4526214128809831,0.48839961620357636,0.059754904348605364,0.48839961620357636,0.059754904348605364
2046,0.5729803487308132,0.07682194866672981,0.5562936014052668,0.06789398520169049,2.401976601450661,0.6334139110285575,0.5562936014052668,0.06789398520169049,0.5562936014052668,0.06789398520169049
2047,0.6641643699902713,0.09118402125945813,0.6334457610771036,0.07715215967183675,3.2699745460256855,0.8679979445750243,0.6334457610771036,0.07715215967183675,0.6334457610771036,0.07715215967183675
2048,0.7723851185379127,0.10822074854764141,0.7211115665881155,0.08766580551101189,4.4298433724308754,1.15986882640519,0.7211115665881155,0.08766580551101189,0.7211115665881155,0.08766580551101189
2049,0.8789463025674064,0.10656118402949366,0.8207004156909607,0.09958884910284527,5.962387324439738,1.5325439520088624,0.8207004156909607,0.09958884910284527,0.8207004156909607,0.09958884910284527
2050,0.9999256058845326,0.12097930331712625,0.9337939538967719,0.11309353820581114,7.956815379129154,1.9944280546894158,0.9337939538967719,0.11309353820581114,0.9337939538967719,0.11309353820581114
